iter	RMSE
0	192988.7356
1	180324.6704
2	170332.7448
3	162639.2808
4	155560.6771
5	149328.1762
6	143707.4385
7	138870.0373
8	136148.7497
9	132428.8836
10	129225.4381
11	126278.1694
12	123764.3791
13	121180.9172
14	119445.6698
15	117937.5128
16	116390.622
17	114782.1232
18	113196.6749
19	112203.6995
20	111476.8344
21	110645.6869
22	110119.9124
23	109368.7301
24	108524.0784
25	107962.6986
26	107414.1801
27	106841.0595
28	106262.9242
29	105536.0566
30	105018.5288
31	104601.9549
32	104277.494
33	103803.6918
34	103470.2506
35	102871.7232
36	102555.3429
37	102336.2866
38	101866.9881
39	101587.8617
40	101364.1544
41	100993.9696
42	100783.0159
43	100553.6566
44	100246.5022
45	100027.2216
46	99711.78949
47	99479.80992
48	99297.54437
49	99025.6531
50	98746.84682
51	98535.61922
52	98304.28838
53	97896.79612
54	97738.77995
55	97431.27
56	97309.73711
57	97161.19527
58	96848.03899
59	96714.03729
60	96314.47302
61	96128.43223
62	96025.13517
63	95875.65665
64	95261.37562
65	95124.8392
66	95036.07013
67	94943.80885
68	94835.19326
69	94733.7502
70	94652.31164
71	94590.09412
72	94423.45319
73	94246.74045
74	93777.98475
75	93481.43459
76	93365.24826
77	93298.09476
78	93251.41745
79	93177.6344
80	93111.98733
81	92975.38159
82	92578.50423
83	92525.02219
84	92462.71705
85	92414.20471
86	92262.07428
87	91996.42102
88	91958.52029
89	91912.31629
90	91859.27691
91	91807.99378
92	91729.64852
93	91595.11026
94	91541.61133
95	91460.6134
96	91422.35231
97	91342.61455
98	90898.04004
99	90858.77451
100	90794.77971
101	90394.53788
102	90199.51097
103	90101.83556
104	89858.97981
105	89787.98293
106	89759.44607
107	89626.24799
108	89587.87155
109	89544.37957
110	89505.95134
111	89464.22224
112	89225.12869
113	89192.95687
114	89130.29766
115	89062.85901
116	88888.15055
117	88851.87032
118	88576.56178
119	88540.4548
120	88479.96347
121	88397.23867
122	88355.00918
123	88176.27293
124	88133.0702
125	88046.76833
126	88002.48871
127	87641.25318
128	87598.38834
129	87510.06486
130	87157.6384
131	87119.50708
132	87025.05796
133	86986.79056
134	86943.51251
