iter	Passed	Remaining
0	71	61907
1	136	58853
2	212	61087
3	293	63152
4	375	64502
5	447	64016
6	522	64059
7	604	64728
8	673	64050
9	748	63984
10	829	64372
11	908	64581
12	982	64381
13	1053	64032
14	1132	64184
15	1216	64546
16	1295	64615
17	1370	64494
18	1445	64356
19	1524	64413
20	1603	64434
21	1679	64361
22	1750	64099
23	1833	64255
24	1916	64380
25	1992	64310
26	2072	64339
27	2147	64187
28	2226	64182
29	2297	63936
30	2364	63606
31	2433	63353
32	2495	62921
33	2565	62696
34	2643	62686
35	2717	62589
36	2791	62478
37	2865	62367
38	2944	62361
39	3014	62181
40	3089	62081
41	3151	61762
42	3221	61590
43	3289	61377
44	3362	61268
45	3445	61350
46	3522	61308
47	3591	61122
48	3664	61030
49	3731	60825
50	3796	60598
51	3873	60563
52	3941	60384
53	4015	60304
54	4088	60214
55	4160	60108
56	4237	60062
57	4308	59950
58	4372	59727
59	4447	59670
60	4519	59568
61	4594	59509
62	4667	59421
63	4739	59312
64	4816	59276
65	4881	59093
66	4955	59017
67	5024	58884
68	5099	58827
69	5174	58762
70	5247	58681
71	5319	58584
72	5391	58495
73	5456	58322
74	5526	58215
75	5596	58095
76	5668	58014
77	5740	57918
78	5820	57914
79	5889	57790
80	5967	57759
81	6046	57740
82	6126	57724
83	6198	57629
84	6274	57577
85	6345	57475
86	6414	57363
87	6503	57423
88	6585	57419
89	6656	57317
90	6720	57162
91	6784	57004
92	6846	56834
93	6913	56705
94	6987	56636
95	7037	56372
96	7100	56219
97	7151	55970
98	7221	55873
99	7297	55826
100	7366	55725
101	7415	55473
102	7483	55359
103	7545	55214
104	7632	55241
105	7700	55136
106	7759	54967
107	7809	54737
108	7885	54693
109	7914	54325
110	7964	54104
111	8036	54030
112	8106	53949
113	8152	53708
114	8195	53451
115	8272	53414
116	8331	53262
117	8396	53156
118	8450	52974
119	8494	52735
120	8527	52430
121	8600	52376
122	8636	52098
123	8698	51982
124	8770	51923
125	8834	51812
126	8898	51706
127	8945	51507
128	8995	51323
129	9066	51260
130	9134	51180
131	9177	50961
132	9247	50896
133	9331	50905
134	9407	50872
135	9435	50578
136	9462	50282
137	9515	50126
138	9553	49900
139	9631	49879
140	9694	49779
141	9734	49561
142	9786	49412
143	9858	49360
144	9920	49262
145	9963	49067
146	10022	48954
147	10055	48717
148	10134	48701
149	10197	48609
150	10241	48428
151	10272	48184
152	10330	48073
153	10366	47862
154	10412	47695
155	10483	47648
156	10516	47424
157	10543	47178
158	10613	47126
159	10638	46875
160	10720	46877
161	10805	46889
162	10848	46723
163	10893	46564
164	10935	46393
165	10971	46201
166	11045	46165
167	11075	45951
168	11124	45815
169	11164	45644
170	11211	45500
171	11289	45487
172	11344	45377
173	11408	45308
174	11472	45236
175	11514	45077
176	11543	44869
177	11578	44688
178	11611	44501
179	11636	44283
180	11666	44087
181	11737	44046
182	11803	43988
183	11838	43815
184	11910	43777
185	11986	43758
186	12016	43568
187	12087	43529
188	12157	43483
189	12217	43403
190	12288	43364
191	12313	43160
192	12368	43064
193	12433	43005
194	12459	42811
195	12523	42746
196	12567	42614
197	12612	42486
198	12637	42294
199	12687	42185
200	12753	42129
201	12813	42057
202	12885	42020
203	12948	41954
204	13027	41941
205	13076	41830
206	13127	41729
207	13173	41611
208	13253	41598
209	13279	41419
210	13310	41255
211	13351	41124
212	13395	41003
213	13451	40919
214	13483	40764
215	13547	40704
216	13609	40640
217	13679	40600
218	13745	40544
219	13786	40419
220	13811	40245
221	13859	40143
222	13934	40115
223	13963	39956
224	13987	39787
225	14045	39711
226	14109	39657
227	14150	39535
228	14219	39492
229	14265	39386
230	14332	39335
231	14402	39297
232	14478	39270
233	14512	39134
234	14578	39081
235	14607	38933
236	14640	38795
237	14665	38635
238	14693	38486
239	14760	38438
240	14823	38382
241	14882	38313
242	14948	38262
243	14984	38137
244	15034	38045
245	15080	37947
246	15118	37825
247	15181	37770
248	15230	37677
249	15290	37615
250	15343	37532
251	15411	37489
252	15453	37381
253	15492	37266
254	15547	37192
255	15572	37046
256	15624	36963
257	15696	36929
258	15743	36836
259	15774	36705
260	15818	36606
261	15857	36496
262	15899	36393
263	15927	36259
264	15972	36164
265	16011	36056
266	16064	35980
267	16122	35915
268	16170	35827
269	16235	35777
270	16309	35747
271	16372	35693
272	16423	35613
273	16452	35487
274	16510	35421
275	16567	35355
276	16632	35305
277	16697	35257
278	16758	35199
279	16819	35140
280	16844	35008
281	16871	34878
282	16931	34819
283	16999	34776
284	17060	34718
285	17123	34666
286	17170	34580
287	17196	34451
288	17262	34405
