town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until 
aalst,1,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt68791,Apartment,169 000 €,Geldhofstraat 2 2 9300 Aalst,2,Aalst,1,,,1,,69 m²,Yes,,,,1913,Normal,Super equipped,,Double glass,No,Yes,151 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt69060,Apartment,339 000 €,Bauwensplein 3 A0.1 9300 Aalst,3,Aalst,2,,,1,1,108 m²,Yes,7 m²,,,,New,Super equipped,No,,No,,,,
aalst,1,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt71263,Apartment,290 000 €,Arendsveld 2 9300 Aalst,2,Aalst,4,,,4,5,216 m²,,,,,1930,To be renovated,,No,,No,,805 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt71878,Apartment,265 000 €,Ouden Dendermondse Steenweg 144 21 9300 Aalst,144,Aalst,3,12 m²,12 m²,1,1,85 m²,Yes,3 m²,South,2,2019,Excellent,Super equipped,Yes,Double glass,Yes,Yes,,,05/05/2029
aalst,1,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt72006,Apartment,195 000 €,Raffelgemstraat 16 5 9300 Aalst,16,Aalst,2,,,1,1,72 m²,Yes,15 m²,,2,1967,Normal,,No,,Yes,,149 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/apartment/for-sale/9308/gijzegem/rbt69700,Apartment,259 000 €,Alverenbergbaan 1 02 9308 Gijzegem,1,Gijzegem,2,8 m²,15 m²,1,1,80 m²,Yes,30 m²,,0,,New,,No,Double glass,No,,,,
aalst,1,https://immovlan.be/en/detail/master-house/for-sale/9300/aalst/rbt71653,Master,575 000 €,Bert Van Hoorickstraat 19 9300 Aalst,19,Aalst,,,,,,696 m²,,,,,,,,No,,,,,,
aalst,1,https://immovlan.be/en/detail/mixed-building/for-sale/9300/aalst/rbt69056,Mixed,599 000 €,Esplanadeplein 12 9300 Aalst,12,Aalst,2,,,2,3,173 m²,Yes,,,,,Normal,,No,,No,,297 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/mixed-building/for-sale/9300/aalst/rbt71268,Mixed,290 000 €,Arendsveld 2 9300 Aalst,2,Aalst,4,,,4,5,216 m²,,,,,1930,To be renovated,,No,,No,,805 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt69055,Residence,339 000 €,Bauwensplein 3 A0.1 9300 Aalst,3,Aalst,2,,,1,1,108 m²,Yes,7 m²,,,,New,,No,,No,,,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt69062,Residence,599 000 €,Esplanadeplein 12 9300 Aalst,12,Aalst,2,,,2,3,173 m²,Yes,,,,,Normal,,No,,No,,297 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt69604,Residence,295 000 €,Nestor de Tièrestraat 37 9300 Aalst,37,Aalst,3,19 m²,10 m²,1,2,170 m²,,,,,,Excellent,Fully equipped,No,Double glass,No,,243 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt70659,Residence,239 000 €,Weverijstraat 6 9300 Aalst,6,Aalst,3,12 m²,11 m²,1,2,155 m²,Yes,18 m²,,,,New,,No,Double glass,No,,,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt71301,Residence,295 000 €,Meuleschettestraat 33 9300 Aalst,33,Aalst,3,19 m²,19 m²,1,1,165 m²,Yes,4 m²,South-east,,,Normal,Super equipped,Yes,Double glass,,,189 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt71620,Residence,379 000 €,Bergemeersenstraat 113 9300 Aalst,113,Aalst,4,15 m²,8 m²,1,1,201 m²,Yes,66 m²,,,,Excellent,,No,Double glass,,,385 kWh/m²/year,,26/05/2035
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbt72185,Residence,269 000 €,Doornstraat 92 9300 Aalst,92,Aalst,3,8 m²,14 m²,1,1,156 m²,,,,,,Normal,,No,Double glass,No,,601 kWh/m²/year,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9308/hofstade/rbt71993,Residence,421 425 €,Houtzagerijstraat 16 9308 Hofstade,16,Hofstade,3,,,1,2,147 m²,Yes,,,,2025,New,,No,,No,,,,
aalst,1,https://immovlan.be/en/detail/residence/for-sale/9310/herdersem/rbt71550,Residence,384 860 €,Koekeroel 27 9310 Herdersem,27,Herdersem,3,,,1,2,142 m²,,,,,,New,,No,,,,,,
aalst,2,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt32513,Apartment,215 000 €,9300 Aalst,9300,Aalst,2,,,1,1,81 m²,Yes,,,2,1970,,,No,Double glass,Yes,Yes,279 kWh/m²/year,,
aalst,2,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt32527,Apartment,159 000 €,Fabriekstraat 3 4B 9300 Aalst,3,Aalst,1,,,,1,54 m²,Yes,,,4,1976,To be renovated,,Yes,Double glass,Yes,,199 kWh/m²/year,,
aalst,2,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt40387,Apartment,315 000 €,Leo de Béthunelaan 106 5 9300 Aalst,106,Aalst,2,14 m²,16 m²,1,1,134 m²,Yes,12 m²,,2,,Excellent,,No,Double glass,Yes,,141 kWh/m²/year,,
aalst,2,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbt67411,Apartment,357 900 €,9300 Aalst,9300,Aalst,2,15 m²,14 m²,1,1,122 m²,Yes,14 m²,,1,2024,New,Super equipped,,Double glass,Yes,Yes,,,
aalst,2,https://immovlan.be/en/detail/apartment/for-sale/9308/gijzegem/rbt66894,Apartment,259 000 €,Alverenbergbaan 1 02 9308 Gijzegem,1,Gijzegem,2,8 m²,15 m²,1,1,80 m²,Yes,30 m²,,0,,New,,No,Double glass,No,,,,
aalst,2,https://immovlan.be/en/detail/loft/for-sale/9310/moorsel/rbt68591,Loft,750 000 €,Opwijkse Steenweg 10C 9310 Moorsel,9310,Moorsel,4,32 m²,16 m²,2,4,552 m²,Yes,158 m²,,1,,Excellent,,No,Double glass,Yes,Yes,119 kWh/m²/year,,
aalst,2,https://immovlan.be/en/detail/penthouse/for-sale/9300/aalst/rbt67723,Penthouse,369 000 €,Keizersplein 2 9 9300 Aalst,2,Aalst,2,19 m²,18 m²,1,1,137 m²,Yes,27 m²,,4,1997,,Fully equipped,Yes,Double glass,Yes,,157 kWh/m²/year,,
