iter	RMSE
0	198631.0368
1	189335.4514
2	181534.9738
3	174465.4985
4	168179.6823
5	162683.8429
6	157922.2936
7	153559.3584
8	149469.8527
9	145982.564
10	142943.7157
11	140318.9728
12	137924.8023
13	135725.2274
14	133812.297
15	132038.2859
16	130267.3592
17	128680.4377
18	127485.7293
19	126105.9547
20	124686.0005
21	123724.838
22	122751.7938
23	121935.4243
24	121141.4069
25	120435.0854
26	119689.5654
27	119142.9346
28	118404.0016
29	117841.8956
30	117194.3678
31	116552.2846
32	116169.8895
33	115647.5953
34	114907.6677
35	114224.7722
36	113698.3513
37	113209.3319
38	112823.7427
39	112397.4483
40	112165.9393
41	111856.5448
42	111594.7474
43	111216.9173
44	110994.1344
45	110750.9341
46	110497.8454
47	110014.1225
48	109689.8448
49	109381.9148
