iter	Passed	Remaining
0	8	408
1	18	440
2	27	426
3	36	421
4	43	388
5	60	440
6	68	420
7	75	398
8	83	379
9	89	357
10	95	339
11	102	323
12	109	310
13	117	301
14	122	286
15	128	273
16	134	261
17	139	247
18	146	238
19	154	231
20	160	222
21	166	212
22	171	201
23	182	197
24	189	189
25	196	181
26	202	172
27	207	162
28	218	157
29	228	152
30	235	144
31	245	138
32	252	130
33	261	123
34	268	114
35	275	107
36	281	98
37	286	90
38	294	83
39	300	75
40	308	67
41	316	60
42	324	52
43	331	45
44	335	37
45	341	29
46	347	22
47	352	14
48	359	7
49	364	0
